"Year","Age","Value"
2000,"01-05",602862
2000,"05-14",36801
2000,"15-29",20293
2000,"30-49",20906
2000,"50-59",14461
2000,"60-69",16652
2000,"70+",9170
2010,"01-05",455252
2010,"05-14",38154
2010,"15-29",24212
2010,"30-49",27849
2010,"50-59",19170
2010,"60-69",21204
2010,"70+",12029
2015,"01-05",316982
2015,"05-14",34631
2015,"15-29",23584
2015,"30-49",27943
2015,"50-59",20408
2015,"60-69",22621
2015,"70+",12908
2019,"01-05",268570
2019,"05-14",33581
2019,"15-29",22789
2019,"30-49",27181
2019,"50-59",19835
2019,"60-69",22439
2019,"70+",16367
