Base Dataset,SERIES Code,SERIES Description,REF_AREA Code,REF_AREA Description,TIME_PERIOD,TIME_DETAIL,OBS_VALUE,UNIT_MEASURE Code,UNIT_MEASURE Description,Reporting Type code,Reporting Type,Nature code,Sex code,Sex,SOURCE_DETAIL,COMMENT_OBS
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","4","Afghanistan","2022","2022","N","%","PERCENT","G","Global","C","FEMALE","Female","Indicator not applicable / No elected deliberative bodies of local government. Compiled by UN Women.","Indicator not applicable / No elected deliberative bodies of local government."
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","8","Albania","2020","2020","43.6","%","PERCENT","G","Global","C","FEMALE","Female","Electoral Management Body: 2019 municipal election results. Data provided by the National Statistical Office. Compiled by UNECE Statistical Division and UN Women.",""
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","12","Algeria","2018","2018","17.6","%","PERCENT","G","Global","C","FEMALE","Female","Administrative data based on 2017 data election results. Data provided by the National Statistical Office. Compiled by UNECA African Centre for Statistics and UN Women.",""
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","16","American Samoa","2020","2020","N","%","PERCENT","G","Global","C","FEMALE","Female","Indicator not applicable / No elected deliberative bodies of local government. Compiled by UN Women in collaboration with ESCAP Statistics Division.","Indicator not applicable / No elected deliberative bodies of local government."
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","20","Andorra","2020","2020","41.3","%","PERCENT","G","Global","C","FEMALE","Female","Administrative data on most recent local elections results (2019). Data provided by the National Statistical Office. Compiled by UNECE Statistical Division and UN Women.",""
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","28","Antigua and Barbuda","2022","2022","66.7","%","PERCENT","G","Global","C","FEMALE","Female","Administrative data on most recent election results (2021). Data provided by the National Statistical Office. Compiled by ECLAC Division for Gender Affairs and UN Women.",""
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","51","Armenia","2023","2023","28","%","PERCENT","G","Global","C","FEMALE","Female","Ministry of Territorial Development and Infrastructure provided by the National Statistical Office. Compiled by UNECE Statistical Division and UN Women.",""
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","36","Australia","2019","2019","33.9","%","PERCENT","G","Global","C","FEMALE","Female","Data based on 2016-2018 election results from Local Government Associations. Provided by the National Statistical System. Compiled by UN Women in collaboration with ESCAP Statistics Division.",""
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","40","Austria","2023","2023","26.3","%","PERCENT","G","Global","C","FEMALE","Female","Data from Local Government Association provided by the National Statistical System. Data refer to most recent elections as of 1st January 2023 across the States. Compiled by UNECE Statistical Division and UN Women.",""
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","31","Azerbaijan","2023","2023","38.8","%","PERCENT","G","Global","C","FEMALE","Female","Administrative data on most recent local elections (2019). Data provided by the National Statistical Office. Compiled by UNECE Statistical Division and UN Women.",""
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","48","Bahrain","2023","2023","10","%","PERCENT","G","Global","C","FEMALE","Female","Legislation and Legal Opinion Commission: 2022 election results. Data provided by the National Statistical Office. Compiled by ESCWA Statistics Division and UN Women.",""
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","50","Bangladesh","2022","2022","23.4","%","PERCENT","G","Global","C","FEMALE","Female","Administrative data from the Local Government Division under Ministry of Local Government, Rural Development and Cooperative. Data provided by the National Statistical Office. Data refer to remunerated local government representatives elected directly and indirectly. Compiled by UN Women.",""
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","52","Barbados","2020","2020","N","%","PERCENT","G","Global","C","FEMALE","Female","Indicator not applicable / No elected deliberative bodies of local government. Compiled by ECLAC Division for Gender Affairs and UN Women.","Indicator not applicable / No elected deliberative bodies of local government."
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","112","Belarus","2019","2019","48.2","%","PERCENT","G","Global","C","FEMALE","Female","Administrative data based on 2018 election results. Data provided by the National Statistical Office. Compiled by UNECE Statistical Division and UN Women.",""
"SDG","SG_GEN_LOCGELS","Proportion of elected seats held by women in deliberative bodies of local government (%)","56","Belgium","2019","2019","39","%","PERCENT","G","Global","C","FEMALE","Female","Data based on 2018 election results from the Institute for the Equality of Women and Men. Compiled by UNECE Statistical Division and UN Women.",""
