"Country","Region","MortalityRate","Description"
"Afghanistan","Asia",71.14,"Infant mortality(deaths per 1,000 live births)"
"Angola","Africa",90.48,"Infant mortality(deaths per 1,000 live births)"
"Bangladesh","Asia",36.87,"Infant mortality(deaths per 1,000 live births)"
"Benin","Africa",102.58,"Infant mortality(deaths per 1,000 live births)"
"Bhutan","Asia",34.02,"Infant mortality(deaths per 1,000 live births)"
"Bolivia (Plurinational State of)","Americas",32.94,"Infant mortality(deaths per 1,000 live births)"
"Botswana","Africa",41.81,"Infant mortality(deaths per 1,000 live births)"
"Burkina Faso","Africa",102.86,"Infant mortality(deaths per 1,000 live births)"
"Burundi","Africa",69.76,"Infant mortality(deaths per 1,000 live births)"
"Cambodia","Asia",36.26,"Infant mortality(deaths per 1,000 live births)"
"Cameroon","Africa",91.11,"Infant mortality(deaths per 1,000 live births)"
"Central African Republic","Africa",126.68,"Infant mortality(deaths per 1,000 live births)"
"Chad","Africa",136.87,"Infant mortality(deaths per 1,000 live births)"
"Comoros","Africa",73.18,"Infant mortality(deaths per 1,000 live births)"
"Congo","Africa",57.22,"Infant mortality(deaths per 1,000 live births)"
"Democratic Republic of the Congo","Africa",101.37,"Infant mortality(deaths per 1,000 live births)"
"Djibouti","Africa",65.51,"Infant mortality(deaths per 1,000 live births)"
"Dominica","Americas",30.59,"Infant mortality(deaths per 1,000 live births)"
"Dominican Republic","Americas",32.22,"Infant mortality(deaths per 1,000 live births)"
"Equatorial Guinea","Africa",94.36,"Infant mortality(deaths per 1,000 live births)"
"Eritrea","Africa",46.52,"Infant mortality(deaths per 1,000 live births)"
"Eswatini","Africa",63.11,"Infant mortality(deaths per 1,000 live births)"
"Ethiopia","Africa",66.67,"Infant mortality(deaths per 1,000 live births)"
"Gabon","Africa",47.92,"Infant mortality(deaths per 1,000 live births)"
"Gambia","Africa",60.19,"Infant mortality(deaths per 1,000 live births)"
"Ghana","Africa",54.8,"Infant mortality(deaths per 1,000 live births)"
"Guinea","Africa",110.38,"Infant mortality(deaths per 1,000 live births)"
"Guinea-Bissau","Africa",91.63,"Infant mortality(deaths per 1,000 live births)"
"Guyana","Americas",33.04,"Infant mortality(deaths per 1,000 live births)"
"Haiti","Americas",73.12,"Infant mortality(deaths per 1,000 live births)"
"India","Asia",47.76,"Infant mortality(deaths per 1,000 live births)"
"Iraq","Asia",30.51,"Infant mortality(deaths per 1,000 live births)"
"Kenya","Africa",48.75,"Infant mortality(deaths per 1,000 live births)"
"Kiribati","Oceania",57.24,"Infant mortality(deaths per 1,000 live births)"
"Lao People's Democratic Republic","Asia",58.04,"Infant mortality(deaths per 1,000 live births)"
"Lesotho","Africa",91.9,"Infant mortality(deaths per 1,000 live births)"
"Liberia","Africa",91.61,"Infant mortality(deaths per 1,000 live births)"
"Madagascar","Africa",60.5,"Infant mortality(deaths per 1,000 live births)"
"Malawi","Africa",53.22,"Infant mortality(deaths per 1,000 live births)"
"Mali","Africa",109.08,"Infant mortality(deaths per 1,000 live births)"
"Marshall Islands","Oceania",35.46,"Infant mortality(deaths per 1,000 live births)"
"Mauritania","Africa",84.26,"Infant mortality(deaths per 1,000 live births)"
"Micronesia (Federated States of)","Oceania",33.71,"Infant mortality(deaths per 1,000 live births)"
"Mozambique","Africa",87.68,"Infant mortality(deaths per 1,000 live births)"
"Myanmar","Asia",51.98,"Infant mortality(deaths per 1,000 live births)"
"Namibia","Africa",47.52,"Infant mortality(deaths per 1,000 live births)"
"Nauru","Oceania",34.8,"Infant mortality(deaths per 1,000 live births)"
"Nepal","Asia",36.74,"Infant mortality(deaths per 1,000 live births)"
"Niger","Africa",102.47,"Infant mortality(deaths per 1,000 live births)"
"Nigeria","Africa",126.17,"Infant mortality(deaths per 1,000 live births)"
"Pakistan","Asia",79.03,"Infant mortality(deaths per 1,000 live births)"
"Papua New Guinea","Oceania",50.42,"Infant mortality(deaths per 1,000 live births)"
"Philippines","Asia",30.12,"Infant mortality(deaths per 1,000 live births)"
"Rwanda","Africa",45.47,"Infant mortality(deaths per 1,000 live births)"
"Sao Tome and Principe","Africa",35.29,"Infant mortality(deaths per 1,000 live births)"
"Senegal","Africa",58.16,"Infant mortality(deaths per 1,000 live births)"
"Sierra Leone","Africa",142.12,"Infant mortality(deaths per 1,000 live births)"
"Somalia","Africa",133.36,"Infant mortality(deaths per 1,000 live births)"
"South Africa","Africa",37.64,"Infant mortality(deaths per 1,000 live births)"
"South Sudan","Africa",97.17,"Infant mortality(deaths per 1,000 live births)"
"Sudan","Africa",65.9,"Infant mortality(deaths per 1,000 live births)"
"Tajikistan","Asia",37.71,"Infant mortality(deaths per 1,000 live births)"
"Timor-Leste","Asia",51.85,"Infant mortality(deaths per 1,000 live births)"
"Togo","Africa",79.05,"Infant mortality(deaths per 1,000 live births)"
"Turkmenistan","Asia",42.01,"Infant mortality(deaths per 1,000 live births)"
"Uganda","Africa",58.32,"Infant mortality(deaths per 1,000 live births)"
"United Republic of Tanzania","Africa",61.66,"Infant mortality(deaths per 1,000 live births)"
"Yemen","Asia",55.83,"Infant mortality(deaths per 1,000 live births)"
"Zambia","Africa",68.63,"Infant mortality(deaths per 1,000 live births)"
"Zimbabwe","Africa",72.79,"Infant mortality(deaths per 1,000 live births)"
